year;GDP;GNP
2010;46308.5;45210.3
2011;59698.1;58440.7
2012;68103.4;66890.2
2013;72985.7;71400.8
2014;79199.7;77500.1
2015;83387.2;81760.4
2016;86010.2;84550.3
2017;92037.2;90300.5
2018;103626.6;101420.7
2019;109361.5;106980.4
2020;106606.6;104200.2
2021;131015.0;128400.3
2022;153435.2;150980.1
2023;171041.0;168320.7
2024;185000.0;181900.5
